ExamID,FinalGrade,PSS_Stress,StudyID,TotalQuestions,avg_durationperquestion,avg_tbd,decision_time_efficiency,good_decision_time_efficiency,maxduration,median_tbd,minduration,num_decisions_made,question_enter_count,ratio_decisions,ratio_good_decisions,totalduration,variance_tbd
2307,0.5818181818181818,18,2017.03PA.144,110,99009.09091,27433.24937,66408.53659,128129.41176,624000.0,16000.0,4000.0,164,155,0.47536,0.51829,10891000.0,1307892629.0614
2307,0.4727272727272727,24,2017.03PA.143,110,99736.36364,21305.60928,89926.22951,199472.72727,424000.0,9000.0,12000.0,122,145,0.45693,0.45082,10971000.0,1015794018.86255
2307,0.4636363636363636,19,2017.03PA.141,110,99318.18182,40917.603,95833.33333,206132.07547,434000.0,22000.0,10000.0,114,141,0.42697,0.46491,10925000.0,2489421756.63879
2307,0.6545454545454545,28,2017.03PA.140,110,100090.90909,20388.88889,83409.09091,137625.0,395000.0,5500.0,13000.0,132,221,0.30345,0.60606,11010000.0,1057585034.01361
2167,0.6534653465346535,34,2016.01.64,101,64247.52475,16898.4375,56426.08696,91394.3662,868000.0,3000.0,9000.0,115,229,0.30026,0.61739,6489000.0,1289151538.02219
2167,0.42574257425742573,32,2016.01.159,101,87811.88119,19238.61171,76456.89655,184770.83333,480000.0,5000.0,18000.0,116,324,0.25328,0.41379,8869000.0,1045469027.63369
2262,0.38,30,2016.01.159,100,96100.0,22558.68545,74496.12403,204468.08511,404000.0,5000.0,11000.0,129,233,0.34309,0.36434,9610000.0,1444068312.62082
2167,0.33663366336633666,25,2016.01.158,101,89069.30693,16035.65062,75596.63866,219414.63415,472000.0,2000.0,10000.0,119,359,0.21441,0.34454,8996000.0,989970155.33486
2262,0.34,14,2016.01.158,100,98790.0,15908.21256,78404.7619,246975.0,280000.0,3000.0,20000.0,126,429,0.20826,0.31746,9879000.0,805315755.02571
2167,0.6633663366336634,27,2016.01.61,101,70514.85149,28374.50199,61396.55172,98916.66667,687000.0,8000.0,4000.0,116,123,0.464,0.62069,7122000.0,2143787187.251
2167,0.39603960396039606,36,2016.01.157,101,97960.39604,7669.76744,76107.69231,183222.22222,519000.0,2000.0,17000.0,130,979,0.10188,0.41538,9894000.0,359327634.54635
2262,0.31,28,2016.01.157,100,98540.0,10557.21925,75800.0,229162.7907,322000.0,1000.0,17000.0,130,471,0.16905,0.33077,9854000.0,558606733.15851
2167,0.7524752475247525,29,2016.01.60,101,70633.66337,14987.39496,47879.19463,78395.6044,216000.0,9000.0,8000.0,149,279,0.31435,0.61074,7134000.0,309515630.2521
2262,0.83,31,2016.01.60,100,99520.0,14613.80323,63794.87179,98534.65347,391000.0,8000.0,14000.0,156,319,0.30648,0.64744,9952000.0,369537397.42593
2167,0.504950495049505,31,2016.01.156,101,89990.09901,32230.49645,77025.42373,165254.54545,378000.0,11500.0,8000.0,118,131,0.42294,0.4661,9089000.0,2105622838.89856
2262,0.45,25,2016.01.156,100,93440.0,37829.95951,81252.17391,190693.87755,323000.0,18000.0,4000.0,115,111,0.46559,0.42609,9344000.0,2390572594.7138
2167,0.49504950495049505,17,2016.01.152,101,71415.84158,22682.38994,61649.57265,131145.45455,250000.0,9000.0,1000.0,117,201,0.36909,0.47009,7213000.0,788248963.35536
2262,0.48,17,2016.01.152,100,90300.0,23952.25464,72240.0,161250.0,270000.0,10000.0,8000.0,125,198,0.387,0.448,9030000.0,1061316863.25414
2167,0.43564356435643564,31,2016.01.151,101,63227.72277,14480.72562,52776.8595,130326.53061,280000.0,3000.0,2000.0,121,320,0.27563,0.40496,6386000.0,642204741.29046
2262,0.42,15,2016.01.151,100,89190.0,20456.42202,67568.18182,182020.40816,634000.0,4500.0,8000.0,132,179,0.40994,0.37121,8919000.0,1790317636.82379
2167,0.5445544554455446,26,2016.01.150,101,80128.71287,24230.53892,58644.92754,115614.28571,365000.0,14000.0,6000.0,138,163,0.41692,0.50725,8093000.0,1154003749.25824
2307,0.5545454545454546,28,2017.03PA.138,110,99718.18182,18153.46535,59939.89071,117946.23656,440000.0,8000.0,16000.0,183,300,0.35192,0.5082,10969000.0,707584673.92194
2055,0.8673469387755102,19,2016.03.118,98,80081.63265,21210.81081,66508.47458,83489.3617,690000.0,7000.0,8000.0,118,248,0.32065,0.79661,7848000.0,951229151.10232
2055,0.6428571428571429,30,2016.03.114,98,79806.12245,21907.56303,64106.55738,108625.0,292000.0,7000.0,10000.0,122,234,0.34174,0.59016,7821000.0,1307758285.33661
2167,0.7326732673267327,29,2016.01.58,101,75009.90099,24517.79935,63133.33333,93530.8642,335000.0,11000.0,7000.0,120,156,0.39474,0.675,7576000.0,1025588156.18039
2262,0.72,28,2016.01.58,100,99980.0,24686.41975,86939.13043,133306.66667,507000.0,8000.0,15000.0,115,144,0.4007,0.65217,9998000.0,2016106869.57585
2167,0.5247524752475248,25,2016.01.57,101,77069.30693,21865.16854,56817.51825,119753.84615,468000.0,11000.0,7000.0,137,219,0.3881,0.47445,7784000.0,1110933881.94335
2167,0.6633663366336634,25,2016.01.56,101,66108.91089,19353.62319,57560.34483,87855.26316,338000.0,4000.0,4000.0,116,178,0.33819,0.65517,6677000.0,1010525749.91574
2167,0.6237623762376238,31,2016.01.55,101,76118.81188,20611.26005,50913.90728,99844.15584,378000.0,10000.0,8000.0,151,168,0.40811,0.50993,7688000.0,679792023.408
2167,0.45544554455445546,21,2016.01.54,101,80227.72277,13595.63758,45779.66102,117434.78261,311000.0,4000.0,9000.0,177,369,0.29899,0.38983,8103000.0,558920249.84491
2262,0.63,25,2016.01.53,100,87410.0,19642.69663,64272.05882,112064.10256,263000.0,8000.0,15000.0,136,249,0.307,0.57353,8741000.0,793158082.8019
2167,0.5148514851485149,10,2016.01.52,101,78376.23762,24737.5,67084.74576,136482.75862,372000.0,9500.0,4000.0,118,140,0.37107,0.49153,7916000.0,1240181661.44201
2262,0.58,4,2016.01.52,100,93380.0,15012.86174,72387.5969,127917.80822,521000.0,3000.0,10000.0,129,245,0.27802,0.56589,9338000.0,570199512.24816
2167,0.7128712871287128,25,2016.01.51,101,73831.68317,18012.07729,57806.20155,93212.5,315000.0,10000.0,8000.0,129,279,0.31387,0.62016,7457000.0,529919950.63808
2262,0.51,28,2016.01.51,100,96750.0,25938.3378,73295.45455,166810.34483,368000.0,14000.0,8000.0,132,198,0.39759,0.43939,9675000.0,1090036510.1329
2167,0.56,26,2016.01.50,100,67550.0,19636.62791,63130.84112,116465.51724,206000.0,7000.0,7000.0,107,205,0.31105,0.54206,6755000.0,810412765.27222
2167,0.7920792079207921,39,2016.01.49,101,66168.31683,17224.2268,55691.66667,79559.52381,316000.0,9000.0,8000.0,120,252,0.31169,0.7,6683000.0,652815225.49881
2262,0.85,36,2016.01.49,100,74130.0,18258.62069,60268.29268,79709.67742,342000.0,8000.0,10000.0,123,227,0.33791,0.7561,7413000.0,1049683567.47552
2167,0.5742574257425742,27,2016.01.48,101,81613.86139,20454.09429,77037.38318,132951.6129,245000.0,2000.0,7000.0,107,236,0.26683,0.57944,8243000.0,1356626618.76721
2262,0.66,22,2016.01.48,100,97970.0,27289.69359,85191.30435,136069.44444,574000.0,10000.0,4000.0,115,127,0.42435,0.62609,9797000.0,1767630927.00082
2262,0.59,29,2016.01.47,100,99370.0,20573.49896,84211.86441,146132.35294,427000.0,7000.0,10000.0,118,169,0.35435,0.57627,9937000.0,982319794.16338
2167,0.6534653465346535,34,2016.01.45,101,70217.82178,16926.01432,51021.58273,86487.80488,514000.0,8000.0,6000.0,139,236,0.33333,0.58993,7092000.0,624154800.10506
2167,0.6237623762376238,30,2016.01.43,101,73821.78218,16868.77828,62655.46218,108057.97101,262000.0,4000.0,9000.0,119,319,0.27169,0.57983,7456000.0,705651676.05504
2262,0.41,18,2016.01.42,100,73390.0,21973.05389,57335.9375,149775.5102,241000.0,9000.0,6000.0,128,188,0.4,0.38281,7339000.0,1221419692.14724
2167,0.5643564356435643,22,2016.01.41,101,38940.59406,13423.20819,33905.17241,62428.57143,141000.0,7000.0,3000.0,116,169,0.39863,0.5431,3933000.0,252498363.64486
2262,0.7,17,2016.01.41,100,50100.0,12431.76179,37111.11111,62625.0,274000.0,4000.0,7000.0,135,188,0.39589,0.59259,5010000.0,370176302.11227
2262,0.46,30,2016.01.40,100,77120.0,25285.2459,69477.47748,148307.69231,369000.0,5000.0,8000.0,111,136,0.40072,0.46847,7712000.0,1894237446.0742
2167,0.6039603960396039,16,2016.01.131,101,81643.56436,23033.51955,59753.62319,112958.90411,261000.0,14000.0,9000.0,138,218,0.38764,0.52899,8246000.0,682900834.07665
2167,0.7029702970297029,30,2016.01.37,101,64683.16832,17013.02083,57814.15929,85960.52632,299000.0,7000.0,6000.0,113,248,0.29815,0.67257,6533000.0,487746566.30766
2167,0.504950495049505,26,2016.01.36,101,93435.64356,21447.72727,82780.70175,168517.85714,376000.0,6000.0,8000.0,114,267,0.25968,0.49123,9437000.0,1192616851.31497
2167,0.48514851485148514,23,2016.01.34,101,72237.62376,21458.82353,61310.92437,132654.54545,470000.0,8000.0,8000.0,119,183,0.35103,0.46218,7296000.0,1208473225.75048
2262,0.52,26,2016.01.33,100,99700.0,22710.70615,76106.87023,158253.96825,335000.0,6000.0,3000.0,131,124,0.47292,0.48092,9970000.0,1814639862.28561
